Building Type,Slight_Median,Slight_Beta,Moderate_Median,Moderate_Beta,Extensive_Median,Extensive_Beta,Complete_Median,Complete_Beta
W1,0.18,0.64,0.29,0.64,0.51,0.64,0.77,0.64
W2,0.12,0.64,0.19,0.64,0.37,0.64,0.6,0.64
S1L,0.09,0.64,0.13,0.64,0.27,0.64,0.38,0.64
S1M,0.09,0.64,0.14,0.64,0.23,0.64,0.39,0.64
S1H,0.08,0.64,0.14,0.64,0.21,0.64,0.36,0.64
S2L,0.11,0.64,0.14,0.64,0.28,0.64,0.39,0.64
S2M,0.1,0.64,0.14,0.64,0.23,0.64,0.37,0.64
S2H,0.09,0.64,0.13,0.64,0.29,0.64,0.5,0.64
S3,0.08,0.64,0.09,0.64,0.2,0.64,0.32,0.64
S4L,0.1,0.64,0.14,0.64,0.25,0.64,0.4,0.64
S4M,0.09,0.64,0.13,0.64,0.2,0.64,0.36,0.64
S4H,0.09,0.64,0.14,0.64,0.27,0.64,0.47,0.64
S5L,0.11,0.64,0.16,0.64,0.28,0.64,0.46,0.64
S5M,0.09,0.64,0.14,0.64,0.28,0.64,0.43,0.64
S5H,0.08,0.64,0.14,0.64,0.29,0.64,0.36,0.64
C1L,0.1,0.64,0.13,0.64,0.21,0.64,0.36,0.64
C1M,0.09,0.64,0.13,0.64,0.26,0.64,0.43,0.64
C1H,0.08,0.64,0.12,0.64,0.21,0.64,0.35,0.64
C2L,0.11,0.64,0.15,0.64,0.24,0.64,0.42,0.64
C2M,0.1,0.64,0.15,0.64,0.31,0.64,0.52,0.64
C2H,0.09,0.64,0.14,0.64,0.3,0.64,0.5,0.64
C3L,0.1,0.64,0.14,0.64,0.25,0.64,0.38,0.64
C3M,0.09,0.64,0.13,0.64,0.21,0.64,0.35,0.64
C3H,0.08,0.64,0.13,0.64,0.27,0.64,0.53,0.64
PC1,0.11,0.64,0.14,0.64,0.23,0.64,0.34,0.64
PC2L,0.09,0.64,0.13,0.64,0.24,0.64,0.34,0.64
PC2M,0.1,0.64,0.14,0.64,0.28,0.64,0.42,0.64
PC2H,0.09,0.64,0.13,0.64,0.24,0.64,0.36,0.64
RMM1L,0.13,0.64,0.16,0.64,0.26,0.64,0.4,0.64
RM1M,0.11,0.64,0.14,0.64,0.22,0.64,0.41,0.64
RM2L,0.12,0.64,0.15,0.64,0.23,0.64,0.41,0.64
RM2M,0.1,0.64,0.13,0.64,0.2,0.64,0.4,0.64
RM2H,0.09,0.64,0.14,0.64,0.27,0.64,0.46,0.64
URML,0.13,0.64,0.17,0.64,0.26,0.64,0.38,0.64
URMM,0.09,0.64,0.14,0.64,0.21,0.64,0.38,0.64
MH,0.08,0.64,0.11,0.64,0.18,0.64,0.34,0.64
